id,Order,Title,Content,Author,Date,Languages
3,1,About,"Hi! This website is my first effort in both website creation and promoting open source science. As mentioned before, the more people sticking their noses into science, either to tinkering with their own projects, or ""simply"" by reading current literature and through these methods, better understanding science and seeing its purpose, the better!!

I hope you find the website useful! Drop me a line with ideas, suggestions, criticisms, other open science/projects and suggestions at: openeuroscience(<em>at)</em>gmail.com

(remember to replace the <em>at</em> for @ ;)! )

On constant development by André Maia Chagas

<img src=""http://www.linkedin.com/img/webpromo/btn_myprofile_160x33.png"" alt=""View André Maia Chagas's profile on LinkedIn"" width=""160"" height=""33"" border=""0"" />

&nbsp;",2,20130129,English
4,1,Hardware,"&nbsp;

Here you will find information about existing open hardware platforms, which can be used for several different tasks.

&nbsp;

There are projects such as the <a href=""http://www.arduino.cc/"">Arduino</a>, or the <a href=""http://www.brc-electronics.nl/"">SimpleCortex</a>, which are microcontrollers that can be loaded with different programs to control different sensors and devices.

&nbsp;

Other projects that aim to offer a cheap alternative for desktops, while doing more than desktops... Good examples in this category are the <a href=""http://beagleboard.org/#&amp;slider1=1"">Beagle board</a> and the <a href=""http://www.raspberrypi.org/"">Raspberry pi</a> (although the latter is not completely open).

&nbsp;

On the wetware class, we have open PCR, and centrifuges available

&nbsp;

Last but not least, there are also complete electrophysiology systems available. In this category are the <a href=""https://backyardbrains.com/"">Backyard brains</a> and the <a href=""http://open-ephys.org/"">Open ephys</a> initiative.

&nbsp;",2,20130129,English
7,0,Arduino,"&nbsp;

The best description about the arduino project comes from their own <a href=""http://www.arduino.cc/"" target=""_blank"">website</a>:
<blockquote>""Arduino is an open-source electronics prototyping platform based on flexible, easy-to-use hardware and software. It's intended for artists, designers, hobbyists, and anyone interested in creating interactive objects or environments.""</blockquote>
But unfortunately they forgot about scientists!! This is a great platform for:

-Learning a little bit of electronics which is always handy in a laboratory, whether you simply want to understand how that PCR machine really works or to understand how to fix that damn TTL pulse that is constantly failing.

-Building full operational setups at much lower cost than the current commercial systems, one arduino UNO board cost ~50€ and a <a href=""http://store.arduino.cc/product/A000010"">beginner kit</a>, with LEDs, buttons, resistors and other sensors can be bought for around ~60€.

To put in more practical words, the Arduino is a micro controller that has several digital inputs/outputs as well as analog inputs and also outputs. It runs up to 16MHz of speed, and is normally programmed with a special designed language, that is actually a simplified version  of C++, which can also be used instead (for people who already know how to program in c++).
There is a nice series of videos from the people of <a href=""http://fritzing.org/"">Fritzing</a>, showing how to <a href=""http://www.youtube.com/watch?v=9E779EfPLI4"">get started</a> with eletronics and the Arduino

&nbsp;",2,20130129,English
20,3,"Articles related to Open Source Projects","Open development:

<a href=""http://www.omgubuntu.co.uk/2013/02/motivation-community-and-the-cost-of-disagreeing"">The cost of disagreeing</a>

Open source science:

<a href=""http://www.nature.com/news/journal-offers-flat-fee-for-all-you-can-publish-1.10811"">Nature's view on PeerJ</a>

<a href=""http://www.guardian.co.uk/science/blog/2013/jan/17/open-access-publishing-science-paywall-immoral"">Hiding behind paywalls is immoral</a>

and a comment response: <a href=""http://www.guardian.co.uk/science/blog/2013/jan/23/open-access-publish-paywalls-victims-perpetrators"">Those who hide behind paywalls are victims </a>

<a href=""http://blogs.nature.com/news/2012/11/uk-research-funders-announce-grants-for-open-access-publishing.html"">UK to open a lot of its public funded papers</a>

<a href=""http://www.frontiersin.org/news/Nature_Publishing_Group_and_Frontiers_form_alliance_to_further_open_science/266"">Frontier's joint venture with Nature</a>

<a href=""http://news.sciencemag.org/scienceinsider/2013/02/white-house-unveils-long-awaited.html"">US reveals public access policy </a>

<a href=""http://news.sciencemag.org/sciencenow/2013/03/live-chat-should-scientific-pape.html?ref=em"">Should scientific papers be free?</a>

<a href=""http://www.nature.com/news/specials/scipublishing/index.html?WT.ec_id=NATURE-20130328"">Nature's special on publishing</a>

<a href=""http://www.nytimes.com/2013/04/08/health/for-scientists-an-exploding-world-of-pseudo-academia.html?_r=0"">Scientific articles accepted (Personal Checks, too)</a>

Comment on previous article: <a href=""http://bollier.org/blog/did-commercial-journals-use-nyt-smear-open-access-0"">Did commercial journals use NYT to smear open access?</a>

<a href=""http://www.unicmanila.org/index.php?mod=press_releases&amp;id=140"">Unesco makes its publications free</a>

<a href=""http://www.nature.com/nmeth/journal/v10/n7/full/nmeth.2554.html"">Sharing blue prints for better research</a>",2,20130217,English
23,2,"Open access journals","Here is a small list of peer reviewed open access journals that I'm aware about (if you know more, let me know!):

<a href=""https://peerj.com/"">PeerJ</a>: They charge a one time only fee and you can publish there for your entire career.

<a href=""http://www.elifesciences.org/"">eLife</a>: They are not charging for publication at this point, and their reviewing process is a little bit more centred at the <a href=""http://www.elifesciences.org/the-journal/review-process/"">editor's hands</a>

<a href=""http://www.plos.org/"">PLOS</a>: probably the best known open access initiative out there, but they charge the publication fees from the authors instead of charging the readers.

<a href=""http://www.frontiersin.org/"">The Frontiers family</a>: Frontiers is a open access publisher that follows the recipe of charging authors, but they have the great idea of making the reviewer's and editor's name public, so that in every paper, one can see who were the ""guilty ones"" for allowing that specific paper out.

Doing a small research for ""Open access journals"" once can find a lot of them (great!), I haven't had the time to go through all of them in detail, but here is a list:

<a href=""http://www.biomedcentral.com/"">BioMed central</a>: They work the same way as PLOS, by charging the authors.

<a href=""http://www.springeropen.com/"">SpringerOpen</a>: The open branch of Springer

<a href=""http://www.wileyopenaccess.com/view/index.html"">Wiley Open Acces</a>: The open branch of Wiley

<a href=""http://www.doaj.org/"">Directory of Open Access Journals</a>: here one can find open access journals through a search engine.

<a href=""http://f1000.com/"" target=""_blank"">Faculty of 1000</a>: Really thinking outside the box, this publisher has mainly four services (as in 22/01/2014): <a href=""http://f1000.com/prime"" target=""_blank"">F1000Prime</a> has a commented selection of papers in biology and medicine, recommended by over 5000 Faculty Members. <a href=""http://f1000.com/trials/about"" target=""_blank"">F1000Trials</a> has a commented selection of published clinical trials.<a href=""http://f1000research.com/"" target=""_blank""> F1000Research</a> is an open access journal, with a post publication peer review system. Papers are published after an in-house editorial check as long as all data used in the paper is also made available. After publication, the paper is peer reviewed (reviewers names are public!) and the revision steps are tracked and indicated. Last but not least, <a href=""http://f1000.com/posters"" target=""_blank"">F1000Poster</a>s is a repository of posters and slide presentations, making all the effort to put up together a nice presentation/poster less useless, since they will have much more visibility than a conference's time.

<a href=""http://www.gigasciencejournal.com/"">GigaScience</a>: is a general biomedical- life science journal that focuses on big data studies. Interestingly they want to provide the normal manuscript together with a database to host data used to generate the article, tools for data analysis and cluster computing facilities.

A more comprehensive list has been done by <a href=""http://emckiernan.wordpress.com/"">Erin C. McKiernan</a>, and can be found <a href=""http://emckiernan.wordpress.com/2012/10/19/publishing-open-access-in-neuroscience/"">here</a>.

<a href=""http://paperity.org/"">Paperity.org</a> - is not a journal, but an open access journal aggregator:
<blockquote>Our ultimate goal is to aggregate 100% of Open Access literature, published in any place around the world, in any field of research

&nbsp;</blockquote>
<a href=""https://publons.com/"">Publons</a> - is a system to help scientists record and track the reviews they made for peer-reviewed journals. Considering that scientists spend a lot of time reviewing articles, it seems like a good idea to track these efforts and give credit to the reviewers",2,20130201,English
37,0,SimpleCortex," <p>&nbsp;</p>
The <a href=""http://www.brc-electronics.nl/"">SimpleCortex</a> is an initiative from a group of electronics students that felt that the Arduino project missed a few things, such as a debugger, a nicer programming environment and some more ""muscle"". This board runs at 120 MHz, has more digital IO ports and more analog inputs than the Arduino boards.

Having never used Simplecortex myself I cannot say more about it. But they seem to keep a constant update of the board and it's functionalities and also new shields that can be used to expand the board capabilities, such as a LCD shield, that could be used by those neuroscientists working with visual systems.
 <p>&nbsp;</p>",2,20130210,English
48,0,"The &quot;Beagles&quot;"," <p>&nbsp;</p>
The <a href=""http://beagleboard.org/"">Beagle boards</a> are open source, fanless, low cost (a <a href=""http://beagleboard.org/bone"">beagle bone</a> costs $89) computers that can run different OSs such as línux, and Android. They come stripped from peripherals, which makes them great for personal customization. They come in three flavours, the beagle bone, the beagle board and the beagle board XM.
More details and <a href=""http://beagleboard.org/project"">registered projects</a> (for several examples of what these boards can be turned into) can be found at <a title=""Arduino"" href=""http://beagleboard.org/"">http://beagleboard.org</a>.

Also there are nice tutorial videos on how to get started with the beagle bone:
[youtube=http://www.youtube.com/watch?v=z6b4zlh0IrE&amp;w=640&amp;h=360]
 <p>&nbsp;</p>",2,20130210,English
56,3,"Raspberry Pi","<p>&nbsp;</p>

The <a href=""http://www.raspberrypi.org/"">Raspberry Pi</a> is the product of a project that searches to spark the interest of kids into things such as programming and hardware developement. The boards are really cheap (starting at around 25€) although being a complete computer (it can play high definition media and connect to the internet) that runs linux and can easily be used as an environment for learning python, or other programming languages. Even if it is not an open source piece of hardware (due to one of the chips they use in their board), it is still worth mentioning, since this can be an easy, cheap device used to set up a small prototyping rig.

 <p>&nbsp;</p>

<img src=""http://www.raspberrypi.org/wp-content/uploads/2011/07/7513051848_9a6ef2feb8_o-1024x682.jpg"" width=""1024"" height=""682"" class=""alignnone"" />",2,20130210,English
59,1,Software,"But what is open source software? and why should I use it?

-To put it in a short, short way, open source software are pieces programs that are free (as in liberty). Anyone can look at the program's code, study it, make custom changes to it or even improve it, finding bugs and so on.

Open source software is present in almost all areas of computation, from wide use operational systems (such as <a href=""http://en.wikipedia.org/wiki/Linux"">Linux</a>, <a href=""http://www.freebsd.org/about.html"">FreeBSD</a>), 3D modelling (<a href=""http://www.blender.org/"">Blender</a>, <a href=""http://sourceforge.net/projects/free-cad/"">Freecad</a>), office suites (<a href=""http://www.openoffice.org/"">Open office</a>, <a href=""http://www.libreoffice.org/#0"">Libre office</a>), vectorized image suites (<a href=""http://inkscape.org/"">Inkscape</a>), photoshop like suites (<a href=""http://www.gimp.org/"">Gimp</a>), programming languages with scientific computing add-ons (<a href=""http://www.python.org/"">python</a> and <a href=""http://www.numpy.org/"">numPy</a>), high level programming languages for numerical computation (<a href=""http://www.gnu.org/software/octave/"">GNU Octave</a>). Basically for most commercially available piece of software out there, there is a free, similar or even better quality piece of open software a click of a button away.",2,20130217,English
69,0,Home,"<div id=""pl-69"" class=""panel-layout"">
<div id=""pg-69-0"" class=""panel-grid panel-no-style"">
<div id=""pgc-69-0-0"" class=""panel-grid-cell"" data-weight=""1"">
<div id=""panel-69-0-0-0"" class=""so-panel widget widget_sow-editor panel-first-child panel-last-child"" data-index=""0"" data-style=""{&quot;background_display&quot;:&quot;tile&quot;}"">
<div class=""so-widget-sow-editor so-widget-sow-editor-base"">
<div class=""siteorigin-widget-tinymce textwidget"">

&nbsp;

<span style=""color: #000000;"">This website is an attempt in promoting free, mostly open source projects that can be used for scientific projects. Being a neuroscientist, most of the projects here will have neuroscience oriented examples/ideas, but this doesn't mean they cannot be used at any other area of science.</span>

<span style=""color: #000000;"">The reasoning for putting all these projects together is that if someone has a good hypothesis on how a certain natural principle could be explained, lack of funding is too much of a mediocre reason for the testing of such a hypothesis not to happen. Also, a big portion of science is funded with public money, therefore using free/open source projects allows better use of the money.</span>

<span style=""color: #000000;"">The saving potential is huge; as a small example, a <a style=""color: #000000;"" href=""http://sine.ni.com/nips/cds/view/p/lang/en/nid/14129"">National Instruments card</a> that is commonly used for digital and analog I/Os costs around 1500.00 € (<a style=""color: #000000;"" href=""http://sine.ni.com/nips/cds/view/p/lang/en/nid/14129"">not including special cables required, and block connectors</a> ). An <a style=""color: #000000;"" href=""http://arduino.cc/"">Arduino board</a>, that has similar capabilities and could be used for most behavioural testing paradigms costs 20.00 € and can be controlled by a free ""made easy"" programming language. Or think about how much money is spent on operational system licenses, a new copy of <a style=""color: #000000;"" href=""http://windows.microsoft.com/en-US/windows/buy?ocid=GA8_O_WOL_Hero_ShopHP_FPP_Null"">windows</a> costs about $120.00, plus all the software that needs to be bought for data analysis and preparation of texts and presentations (Office suite, corel draw, matlab and so on); one could use one of the many Linux distributions available that are on their majority cost free and come packed with software that can substitute the above mentioned ones.</span>

<span style=""color: #000000;"">Science and education are strongly correlated with prosperity and therefore should be much more accessible to everyone; If more people have access to it, the probability of bringing development to any region of the globe <a style=""color: #000000;"" href=""http://www.ted.com/talks/william_kamkwamba_how_i_harnessed_the_wind.html"">increases</a>.</span>

<span style=""color: #000000;"">Therefore, if us scientists can save some money that can be put to other use, and make our own processes more accessible, that more people can dialogue on the same level, then this is already a good reason to search for open source alternatives.</span>

<span style=""color: #000000;""><a style=""color: #000000;"" href=""http://creativecommons.org/licenses/by-sa/3.0/deed.en_US"" rel=""license""><img style=""border-width: 0px;"" src=""http://i.creativecommons.org/l/by-sa/3.0/88x31.png"" alt=""Creative Commons License"" /></a></span>
<span style=""color: #000000;""> Open neuroscience is licensed under a <a style=""color: #000000;"" href=""http://creativecommons.org/licenses/by-sa/3.0/deed.en_US"" rel=""license"">Creative Commons Attribution-ShareAlike 3.0 Unported License</a>.</span>

<a href=""https://plus.google.com/105332716436297176548"" rel=""publisher""><span style=""color: #000000;"">Google+</span></a>

</div>
</div>
</div>
</div>
</div>
<div id=""pg-69-1"" class=""panel-grid panel-no-style"" data-style=""{&quot;background_image_attachment&quot;:false,&quot;background_display&quot;:&quot;tile&quot;,&quot;cell_alignment&quot;:&quot;flex-start&quot;}"" data-ratio=""1"" data-ratio-direction=""right"">
<div id=""pgc-69-1-0"" class=""panel-grid-cell"" data-weight=""1"">
<div id=""panel-69-1-0-0"" class=""so-panel widget widget_eu_cookie_law_widget panel-first-child panel-last-child"" data-index=""1"" data-style=""{&quot;background_image_attachment&quot;:false,&quot;background_display&quot;:&quot;tile&quot;}"">[siteorigin_widget class=""Jetpack_EU_Cookie_Law_Widget""]<input type=""hidden"" value=""{&quot;instance&quot;:{&quot;hide&quot;:&quot;scroll&quot;,&quot;text&quot;:&quot;default&quot;,&quot;color-scheme&quot;:&quot;negative&quot;,&quot;policy-url&quot;:&quot;default&quot;,&quot;hide-timeout&quot;:30,&quot;customtext&quot;:&quot;&quot;},&quot;args&quot;:{&quot;before_widget&quot;:&quot;&lt;div id=&quot;panel-69-1-0-0&quot; class=&quot;so-panel widget widget_eu_cookie_law_widget panel-first-child panel-last-child&quot; data-index=&quot;1&quot; data-style=&quot;{&amp;quot;background_image_attachment&amp;quot;:false,&amp;quot;background_display&amp;quot;:&amp;quot;tile&amp;quot;}&quot; &gt;&quot;,&quot;after_widget&quot;:&quot;&lt;/div&gt;&quot;,&quot;before_title&quot;:&quot;&lt;h3 class=&quot;widget-title&quot;&gt;&quot;,&quot;after_title&quot;:&quot;&lt;/h3&gt;&quot;,&quot;widget_id&quot;:&quot;widget-1-0-0&quot;}}"" />[/siteorigin_widget]</div>
</div>
</div>
</div>",2,20130217,English
