id,Title,Content,Author,Date,Languages
435,"Publicize and Psychophysics!","Hello!!

This is just a message to test the publicize feature and let you know that the website has a new <a title=""Psychophysics toolboxes"" href=""http://openeuroscience.wordpress.com/software/psychophysics-toolboxes/"">Psychophysics toolboxes</a> section! Also, a lot has been updated here and there, so there should be some mistakes missing now...

Happy open sourcing!",2,20130828,English
466,"Open centrifuges, a hack everyday and optogenetics wiki!","Hello!
Some more interesting projects are collated here! This time an <a href=""http://openeuroscience.wordpress.com/hardware-projects/openfuge/"" title=""OpenFuge"">open centrifuge</a> project where all materials cost ~200 dollars, an <a href=""http://openeuroscience.wordpress.com/hardware-projects/optogenetics/"" title=""Optogenetics"">optogenetics wiki page</a> for information and know-how exchange and last but not least, the <a href=""http://openeuroscience.wordpress.com/learning-sources/"" title=""Learning sources"">hack-a-day</a> project, where excelent projects are shared. Although not always related to science, they are a great source for ideas and information (I found the OpenFuge project via their page).

<img src=""http://www.instructables.com/files/deriv/FSD/495J/HLSH87B3/FSD495JHLSH87B3.LARGE.jpg"">",2,20130927,English
479,"New open wetware section","Hello!
A new section has been added to the website! In the <a href=""http://openeuroscience.wordpress.com/open-wetware/"" title=""Open Wetware"">wetware section</a> you'll find two projects. One of them a company selling molecular biology tools and reagents following the open source philosophy, and the other a wiki page making an effort to share information, know-how and to provide a place where people can share and organize their data/lab annotations.",2,20131001,English
539,"Microscopy special!","Hi! After a brief quiet period, some new open source projects have been added to the website! This time, they are all concerning microscopy!

On the hardware list:

<a href=""http://openeuroscience.wordpress.com/hardware-projects/microscopy-hardware/scanning-electron-microscope/"" title=""Scanning electron microscope"">Scanning electron microscope </a>(yep, you read it correctly!).

<a href=""http://openeuroscience.wordpress.com/hardware-projects/microscopy-hardware/10-microscope-using-a-smartphone/"" title=""10$ microscope using a smartphone"">10$ mount to transform a smartphone into a stereomicroscope.</a>

<a href=""http://openeuroscience.wordpress.com/hardware-projects/microscopy-hardware/stereo-microscope-the-steve-richardson-way/"" title=""Stereo microscope – The Steve Richardson way."">3 projects to enhance the capabilities of your commercially available stereomicroscope.
</a>
On Software:

<a href=""http://openeuroscience.wordpress.com/software/microscopy/micro-manager/"" title=""Micro-Manager"">Micro Manager</a>, a ImageJ add on that enables automatic control of several microscopes, cameras, filters and more!

",2,20131104,English
607,"Signal generators","Hello,

   Another brief update to the website, <a href=""http://openeuroscience.wordpress.com/hardware-projects/signal-generators/"">the signal generator section</a> introduces open source instructions to build waveform generators (very usefull tools for behavioural paradigms, software development and circuit testing).

   Enjoy!
",2,20131208,English
620,"Christmas post with 5 projects to keep you busy!","Hello!

As we are all preparing for the end of another year, openeuroscience goes full gas on the search for open source neuroscience related projects!

Here is what is new on the website:

<a href=""http://openeuroscience.wordpress.com/hardware-projects/tdcs-machine/"">DIY tDCS machine.</a>

<a title=""Near-infrared spectroscopy"" href=""http://openeuroscience.wordpress.com/hardware-projects/open-near-infrared-spectroscopy/"">Near-infrared spectroscopy</a>

<a title=""Open computer vision"" href=""http://openeuroscience.wordpress.com/software/open-computer-vision/"">Open computer vision library</a>

<a title=""Supercomputers"" href=""http://openeuroscience.wordpress.com/hardware-projects/supercomputers/"">BeagleBone computer cluster</a>

<a title=""EEG MEG Toolbox – Fieldtrip"" href=""http://openeuroscience.wordpress.com/software/eeg-meg-toolbox-fieldtrip/"">EEG MEG toolbox - Fieldtrip</a>",2,20131217,English
660,"January brings novelty!","Hi!

Some updates for the already existing pages of the website:

Faculty of a 1000, thickens the list of <a title=""Open access journals"" href=""http://openeuroscience.wordpress.com/open-access-journals/"">open access journals</a>. One of the strong points is that they change the way peer reviewed is done. Here, the review process is a non-anonymous way and post publication! All changes made to the paper are tracked, so one can check the paper's evolution. Also it is mandatory that the data used in the paper is made publicly available (also on the journal website).

<a title=""Open Data/Data collaboration projects"" href=""http://openeuroscience.wordpress.com/data-collaboration-projects/"">Figshare and dryad</a> are two data repositories that give your data digital object identifiers, making them traceable and citable.

<a title=""Open lab notebooks"" href=""http://openeuroscience.wordpress.com/open-lab-notebooks/"">Open lab notebook</a> section: There are still very few examples, so suggestions are welcome!

Also, Openeuroscience is now on Twitter! so if you want to follow our updates and get quick messages on cool stuff we find here and there <a href=""https://twitter.com/openeuroscience"">follow us</a>!

Credit where is due: Some of this new information came from J. Christopher Bare excellent post <a href=""http://digitheadslabnotebook.blogspot.de/"">""Guide to open science""</a>.",2,20140122,English
681,Crowdfunding,"This update brings whatever I could find on crowdfunding portals that allow scientists to raise money for research in an innovative, decentralized way! Learn to make your research appealing to the general public and get them directly involved in it!

On top of facilitating research funding, this idea helps to take science out of its ivory tower and communicate to the public in a direct way. On the down side, ""properly sold"" projects can be fully funded even though they are not scientifically sound (there are solutions to this problem already...)

More information can be found <a title=""Crowd funding"" href=""http://openeuroscience.wordpress.com/crowd-funding/"">HERE.</a>

Good luck with funding!",2,20140203,English
698,"3D printers!","3D printers are already starting to revolutionize the way manufacturing is made. It seems natural that they made their way into the laboratory environment. Check more about it on our new <a title=""3D printers"" href=""http://openeuroscience.wordpress.com/hardware-projects/3d-printing/"">3d printers page</a>.

[caption id=""attachment_699"" align=""aligncenter"" width=""300""]<a href=""http://openeuroscience.com/wp-content/uploads/2014/02/prismx-3d-printer-1.jpg""><img class=""size-medium wp-image-699 "" alt=""prismx-3d-printer-1"" src=""http://openeuroscience.com/wp-content/uploads/2014/02/prismx-3d-printer-1.jpg?w=300"" width=""300"" height=""225"" /></a> From http://migre.me/hXib4[/caption]

&nbsp;",2,20140219,English
722,"motion tracking software","<span class=""userContent"">A small list of motion tracking software and computer vision libraries!
<a href=""http://migre.me/iB0YI"" target=""_blank"" rel=""nofollow nofollow"">http://migre.me/iB0YI</a></span>",2,20140401,English
794,"Programable water bath and tutorials for electronics","Tired of changing bottles from one water bath to another? Check out this <a title=""Programable water bath"" href=""http://openeuroscience.wordpress.com/hardware-projects/wetware/programable-water-bath/"">programmable water bath</a> created by Luis Zaman.

Want a place to learn electronics, microncontrollers and FPGA, check the PyroEdu guys on our <a title=""Learning sources"" href=""http://openeuroscience.wordpress.com/learning-sources/"">Learning sources</a> page.

Last but not least, check out the<a title=""Skinner box using a rasperry pi and python"" href=""http://openeuroscience.wordpress.com/hardware-projects/skinner-box-using-a-rasperry-pi-and-python/""> skinner box using raspberry pi and python</a> connected to the internet, created by Katherine Scott",2,20140701,English
837,"3rd IBRO school on insect neuroscience and Drosophila neurogenetics","<p>Tomorrow the 3<sup>rd</sup> IBRO school on insect neuroscience and <em>Drosophila</em> neurogenetics starts! Hosted for the first time in Dar es Salaam, Tanzania, the course is organised by the people of TrendinAfrica for African students from all over the continent. In the first week Open neuroscience is participating too! We are trying to spread open source, open access ideas and to encourage students/ prospective scientists to use affordable/reliable/customizable and open hardware/software for research! </p><p> </p><p><a href=""http://openeuroscience.com/wp-content/uploads/2014/08/dsc_1380.jpg""><img class=""alignnone size-medium wp-image-838"" src=""http://openeuroscience.com/wp-content/uploads/2014/08/dsc_1380.jpg?w=199"" alt=""DSC_1380"" width=""199"" height=""300"" /></a> <a href=""http://openeuroscience.com/wp-content/uploads/2014/08/dsc_1385.jpg""><img class=""alignnone size-medium wp-image-839"" src=""http://openeuroscience.com/wp-content/uploads/2014/08/dsc_1385.jpg?w=300"" alt=""DSC_1385"" width=""300"" height=""199"" /></a></p>",2,20140810,English
880,"Some new projects","Hello,

A couple of project updates!

<a title=""Red Pitaya"" href=""http://openeuroscience.wordpress.com/hardware-projects/microcontrollers/red-pitaya/"">Red pitaya</a> - a beefed up arduino.

<a title=""OpenHardwareExG"" href=""http://openeuroscience.wordpress.com/hardware-projects/human-brain-interactors/eeg-systems/openhardwareexg/"">OpenHardwareExG</a> - an open source suite for biosignals

<a title=""Addgene"" href=""http://openeuroscience.wordpress.com/data-collaboration-projects/addgene/"">Addgene</a> - a plasmid databank

<a title=""Open access journals"" href=""http://openeuroscience.wordpress.com/open-access-journals/"">Paperity</a> - an open access journal aggregator

<a title=""Open access journals"" href=""http://openeuroscience.wordpress.com/open-access-journals/"">Publons</a> - a system to keep track of reviews made to peer-reviewed journals",2,20141010,English
910,"Even more projects","Some new projects that range from centrifuge to fMRI analysis software

<a title=""centrifuges"" href=""http://openeuroscience.wordpress.com/hardware-projects/wetware/centrifuges/"">Centrifuges</a>:
<p style=""padding-left:30px;""><a title=""DremelFuge"" href=""http://openeuroscience.wordpress.com/hardware-projects/wetware/centrifuges/dremelfuge/"">DremelFuge</a></p>
<p style=""padding-left:30px;""><a title=""GogoFuge"" href=""http://openeuroscience.wordpress.com/hardware-projects/wetware/centrifuges/gogofuge/"">gogoFuge</a></p>
<a title=""Open source syringe pump"" href=""http://openeuroscience.wordpress.com/hardware-projects/wetware/open-source-syringe-pump/"">Open source syringe pump</a>

<a title=""OpenStage"" href=""http://openeuroscience.wordpress.com/hardware-projects/microscopy-hardware/openstage/"">Motorised microscope stage</a>

<a title=""Fiji"" href=""http://openeuroscience.wordpress.com/software/microscopy/fiji/"">Fiji</a> - microscopy software

<a title=""Nipy"" href=""http://openeuroscience.wordpress.com/software/data-analysis-and-visualization/nipy/"">Nipy</a> - collection of neuroimaging software

<a title=""Genome RNAi"" href=""http://openeuroscience.wordpress.com/data-collaboration-projects/genome-rnai/"">Genome RNAi</a>  database",2,20141017,English
